ZZX Massive Bitcoin Exchange / P2P Catalog
=========================================

coinbase                     | Coinbase                             | exchange             | enabled
kraken                       | Kraken                               | exchange             | enabled
gemini                       | Gemini                               | exchange             | enabled
bitstamp                     | Bitstamp                             | exchange             | enabled
bitfinex                     | Bitfinex                             | exchange             | enabled
okx                          | OKX                                  | exchange             | enabled
crypto_com                   | Crypto.com Exchange                  | exchange             | enabled
kucoin                       | KuCoin                               | exchange             | enabled
gateio                       | Gate.io                              | exchange             | enabled
bitget                       | Bitget                               | exchange             | enabled
mexc                         | MEXC                                 | exchange             | enabled
htx                          | HTX                                  | exchange             | enabled
okcoin                       | OKCoin                               | exchange             | enabled
binance_us                   | Binance.US                           | exchange             | enabled
coingecko_global             | CoinGecko Global BTC Aggregate       | exchange             | enabled
binance                      | Binance                              | exchange             | candidate
bybit                        | Bybit                                | exchange             | candidate
upbit                        | Upbit                                | exchange             | candidate
bithumb                      | Bithumb                              | exchange             | candidate
coinone                      | Coinone                              | exchange             | candidate
korbit                       | Korbit                               | exchange             | candidate
bitflyer                     | bitFlyer                             | exchange             | candidate
coincheck                    | Coincheck                            | exchange             | candidate
bitbank                      | bitbank                              | exchange             | candidate
gmo_coin                     | GMO Coin                             | exchange             | candidate
sbi_vc_trade                 | SBI VC Trade                         | exchange             | candidate
zaif                         | Zaif                                 | exchange             | candidate
liquid                       | Liquid                               | exchange             | candidate
independent_reserve          | Independent Reserve                  | exchange             | candidate
btc_markets                  | BTC Markets                          | exchange             | candidate
coinjar                      | CoinJar Exchange                     | exchange             | candidate
swyftx                       | Swyftx                               | exchange             | candidate
coinspot                     | CoinSpot                             | exchange             | candidate
easy_crypto                  | Easy Crypto                          | exchange             | candidate
cexio                        | CEX.IO                               | exchange             | candidate
luno                         | Luno                                 | exchange             | candidate
bitso                        | Bitso                                | exchange             | candidate
mercado_bitcoin              | Mercado Bitcoin                      | exchange             | candidate
foxbit                       | Foxbit                               | exchange             | candidate
novadax                      | NovaDAX                              | exchange             | candidate
bitcointrade                 | BitcoinTrade                         | exchange             | candidate
ripio                        | Ripio                                | exchange             | candidate
buda                         | Buda.com                             | exchange             | candidate
lemon_cash                   | Lemon Cash                           | exchange             | candidate
satoshitango                 | SatoshiTango                         | exchange             | candidate
buenbit                      | Buenbit                              | exchange             | candidate
bit2me                       | Bit2Me                               | exchange             | candidate
coinmotion                   | Coinmotion                           | exchange             | candidate
bitpanda                     | Bitpanda                             | exchange             | candidate
bitvavo                      | Bitvavo                              | exchange             | candidate
coinmetro                    | CoinMetro                            | exchange             | candidate
paymium                      | Paymium                              | exchange             | candidate
bitonic                      | Bitonic                              | exchange             | candidate
anycoin_direct               | Anycoin Direct                       | exchange             | candidate
btc_direct                   | BTC Direct                           | exchange             | candidate
the_rock_trading             | The Rock Trading                     | exchange             | candidate
young_platform               | Young Platform                       | exchange             | candidate
coinmerce                    | Coinmerce                            | exchange             | candidate
zonda                        | Zonda                                | exchange             | candidate
coinmate                     | Coinmate                             | exchange             | candidate
lykke                        | Lykke                                | exchange             | candidate
swissborg                    | SwissBorg                            | exchange             | candidate
relai                        | Relai                                | exchange             | candidate
bitcoin_suisse               | Bitcoin Suisse                       | exchange             | candidate
bity                         | Bity                                 | exchange             | candidate
bitwala                      | Bitwala                              | exchange             | candidate
bsdex                        | BSDEX                                | exchange             | candidate
bison                        | BISON                                | exchange             | candidate
coinfinity                   | Coinfinity                           | exchange             | candidate
safello                      | Safello                              | exchange             | candidate
btcx                         | BTCX                                 | exchange             | candidate
nbx                          | NBX                                  | exchange             | candidate
firi                         | Firi                                 | exchange             | candidate
kuna                         | Kuna                                 | exchange             | candidate
whitebit                     | WhiteBIT                             | exchange             | candidate
exmo                         | EXMO                                 | exchange             | candidate
